date,screen_resolution,visits
(other),(other),803922452
2018-11-30,0x0,1786
2018-11-30,1012x569,4005
2018-11-30,1024x1043,8767
2018-11-30,1024x1280,3721
2018-11-30,1024x1366,103470
2018-11-30,1024x552,1136
2018-11-30,1024x576,13367
2018-11-30,1024x600,28135
2018-11-30,1024x614,1423
2018-11-30,1024x615,1642
2018-11-30,1024x640,11852
2018-11-30,1024x768,339277
2018-11-30,1024x819,47708
2018-11-30,1024x820,35667
2018-11-30,1038x584,1302
2018-11-30,1044x768,1833
2018-11-30,1050x1680,3706
2018-11-30,1051x591,6346
2018-11-30,1067x600,26489
2018-11-30,1067x667,1275
2018-11-30,1067x800,3373
2018-11-30,1067x853,3860
2018-11-30,1078x808,1516
2018-11-30,1080x1920,19060
2018-11-30,1080x2220,1577
2018-11-30,1080x720,2158
2018-11-30,1082x2221,1987
2018-11-30,1088x612,1454
2018-11-30,1088x614,3165
2018-11-30,1088x615,4061
2018-11-30,1092x614,1130
2018-11-30,1093x614,70863
2018-11-30,1093x615,56199
2018-11-30,1094x730,1616
2018-11-30,1095x730,1187
2018-11-30,1097x617,22535
2018-11-30,1097x686,1715
2018-11-30,1098x618,8557
2018-11-30,1098x686,2691
2018-11-30,1103x621,1864
2018-11-30,1108x692,1012
2018-11-30,1113x890,4797
2018-11-30,1120x630,1157
2018-11-30,1120x700,19836
2018-11-30,1120x840,1247
2018-11-30,1129x635,3066
2018-11-30,1138x640,15969
2018-11-30,1138x712,1263
2018-11-30,1138x853,1635
2018-11-30,1143x643,2264
2018-11-30,1152x648,2144
2018-11-30,1152x720,54041
2018-11-30,1152x864,21094
2018-11-30,1164x655,4967
2018-11-30,1164x931,6757
2018-11-30,1185x667,3176
2018-11-30,1187x667,3946
2018-11-30,1188x668,15095
2018-11-30,1200x1920,4567
2018-11-30,1200x600,1013
2018-11-30,1200x675,6660
2018-11-30,1200x750,5302
2018-11-30,1200x800,12288
2018-11-30,1205x904,1411
2018-11-30,1216x811,3861
2018-11-30,1219x686,1083
2018-11-30,1219x975,9679
2018-11-30,1229x691,13147
2018-11-30,1231x692,5264
2018-11-30,1234x823,1124
2018-11-30,1235x823,1603
2018-11-30,1238x696,1204
2018-11-30,1239x697,7973
2018-11-30,1241x698,8291
2018-11-30,1242x698,20958
2018-11-30,1244x778,1777
2018-11-30,1252x704,3040
2018-11-30,1252x783,2668
2018-11-30,1280x1024,995800
2018-11-30,1280x2000,1844
2018-11-30,1280x720,885437
2018-11-30,1280x721,2342
2018-11-30,1280x752,2569
2018-11-30,1280x768,37580
2018-11-30,1280x800,904451
2018-11-30,1280x853,3999
2018-11-30,1280x854,8152
2018-11-30,1280x960,151691
2018-11-30,1281x720,1413
2018-11-30,1292x808,2457
2018-11-30,1300x731,19527
2018-11-30,1301x731,31849
2018-11-30,1309x818,3683
2018-11-30,1324x745,12715
2018-11-30,1333x750,8699
2018-11-30,1334x889,1393
2018-11-30,1344x756,2319
2018-11-30,1344x840,107688
2018-11-30,1344x841,1291
2018-11-30,1347x1078,9641
2018-11-30,1347x758,1210
2018-11-30,1360x1020,1834
2018-11-30,1360x768,111920
2018-11-30,1364x768,6192
2018-11-30,1365x1024,5979
2018-11-30,1365x768,1030
2018-11-30,1366x768,3308075
2018-11-30,1368x768,2771
2018-11-30,1368x912,72498
2018-11-30,1371x771,15858
2018-11-30,1371x857,6391
2018-11-30,1376x774,2363
2018-11-30,1391x783,8366
2018-11-30,1396x785,2436
2018-11-30,1400x1050,6037
2018-11-30,1400x875,4855
2018-11-30,1408x792,2646
2018-11-30,1418x798,1856
2018-11-30,1422x1138,7438
2018-11-30,1422x800,20594
2018-11-30,1422x889,1866
2018-11-30,1423x800,2089
2018-11-30,1438x808,33493
2018-11-30,1440x2560,3061
2018-11-30,1440x810,3567
2018-11-30,1440x900,1754605
2018-11-30,1440x960,26636
2018-11-30,1455x818,9949
2018-11-30,1457x819,1839
2018-11-30,1461x913,4957
2018-11-30,1463x823,7354
2018-11-30,1467x825,1090
2018-11-30,1472x828,1411
2018-11-30,1475x830,1402
2018-11-30,1477x831,24172
2018-11-30,1477x923,1940
2018-11-30,1500x1000,23512
2018-11-30,1504x1003,12985
2018-11-30,1506x1205,4131
2018-11-30,1506x847,1059
2018-11-30,1516x947,5205
2018-11-30,1517x853,27411
2018-11-30,1518x853,23996
2018-11-30,1524x857,12838
2018-11-30,1525x858,2729
2018-11-30,1527x955,6157
2018-11-30,1536x864,1475801
2018-11-30,1536x865,7443
2018-11-30,1536x960,62611
2018-11-30,1537x864,2130
2018-11-30,1563x1042,1930
2018-11-30,1564x1043,1737
2018-11-30,1600x1000,17370
2018-11-30,1600x1024,1655
2018-11-30,1600x1200,46676
2018-11-30,1600x1280,2675
2018-11-30,1600x800,5027
2018-11-30,1600x900,1197748
2018-11-30,1603x902,1798
2018-11-30,1607x904,15161
2018-11-30,1617x909,1016
2018-11-30,1620x1080,2569
2018-11-30,1638x922,1439
2018-11-30,1639x922,2067
2018-11-30,1646x926,1069
2018-11-30,1655x931,1171
2018-11-30,1668x879,2307
2018-11-30,1670x1043,3322
2018-11-30,1670x939,35542
2018-11-30,1676x943,2874
2018-11-30,1680x1050,826021
2018-11-30,1680x945,3673
2018-11-30,1684x947,11338
2018-11-30,1694x1059,2168
2018-11-30,1696x954,1476
2018-11-30,1699x956,1116
2018-11-30,1707x1067,2649
2018-11-30,1707x1365,5381
2018-11-30,1707x720,1008
2018-11-30,1707x960,34333
2018-11-30,1708x960,6196
2018-11-30,1714x964,1256
2018-11-30,1728x1152,1368
2018-11-30,1728x972,1323
2018-11-30,1739x979,4319
2018-11-30,1745x1091,4056
2018-11-30,1745x982,39384
2018-11-30,1760x990,3365
2018-11-30,1768x1105,5982
2018-11-30,1768x992,1280
2018-11-30,1776x1000,1322
2018-11-30,1778x1000,9271
2018-11-30,1800x1125,1576
2018-11-30,1813x1024,1105
2018-11-30,1821x1024,22802
2018-11-30,1824x1216,2407
2018-11-30,1829x1029,47466
2018-11-30,1829x1143,5086
2018-11-30,1846x1038,1723
2018-11-30,1867x1167,4524
2018-11-30,1882x1059,4703
2018-11-30,1920x1080,4840819
2018-11-30,1920x1200,456126
2018-11-30,1951x1097,2590
2018-11-30,1976x1235,2376
2018-11-30,2000x1125,4473
2018-11-30,2000x2000,11794
2018-11-30,2021x1137,36139
2018-11-30,2021x1263,3469
2018-11-30,2048x1152,108797
2018-11-30,2048x1280,2698
2018-11-30,2048x864,3601
2018-11-30,2087x1174,1356
2018-11-30,2100x1312,1345
2018-11-30,2102x1182,1081
2018-11-30,2133x1200,32063
2018-11-30,2133x1333,2474
2018-11-30,2144x1206,2495
2018-11-30,2182x1227,1021
2018-11-30,2194x1234,2000
2018-11-30,2195x1235,4999
2018-11-30,2240x1400,2807
2018-11-30,2259x1271,13392
2018-11-30,2259x1412,1193
2018-11-30,2286x1286,1010
2018-11-30,2293x960,1052
2018-11-30,2294x960,1321
2018-11-30,2304x1296,2569
2018-11-30,2400x1350,10565
2018-11-30,2400x1500,1345
2018-11-30,240x320,5044
2018-11-30,2560x1080,42424
2018-11-30,2560x1440,391756
2018-11-30,2560x1600,17098
2018-11-30,2736x1824,1009
2018-11-30,2743x1543,1276
2018-11-30,2752x1152,4904
2018-11-30,2880x1620,1860
2018-11-30,3000x3000,2766
2018-11-30,3008x1692,1444
2018-11-30,3072x1728,4732
2018-11-30,313x445,1145
2018-11-30,3200x1800,1944
2018-11-30,320x480,29082
2018-11-30,320x528,3313
2018-11-30,320x533,1250
2018-11-30,320x534,87496
2018-11-30,320x568,1101217
2018-11-30,320x569,140229
2018-11-30,320x570,203498
2018-11-30,320x640,25310
2018-11-30,320x658,53955
2018-11-30,320x694,2382
2018-11-30,342x487,1192
2018-11-30,3440x1440,32355
2018-11-30,346x615,2822
2018-11-30,346x692,1805
2018-11-30,357x595,2606
2018-11-30,360x592,9749
2018-11-30,360x597,1818
2018-11-30,360x598,2393
2018-11-30,360x640,3163946
2018-11-30,360x668,13289
2018-11-30,360x670,2019
2018-11-30,360x692,7001
2018-11-30,360x720,257752
2018-11-30,360x740,831493
2018-11-30,360x747,7784
2018-11-30,360x748,5597
2018-11-30,360x749,1664
2018-11-30,360x760,34336
2018-11-30,360x780,15267
2018-11-30,361x642,1140
2018-11-30,375x667,4202554
2018-11-30,375x812,1773893
2018-11-30,376x668,9216
2018-11-30,377x670,9182
2018-11-30,377x753,6514
2018-11-30,377x774,1064
2018-11-30,3840x1080,1984
2018-11-30,3840x1600,3464
2018-11-30,3840x2160,9551
2018-11-30,393x699,6251
2018-11-30,393x786,46518
2018-11-30,393x817,1981
2018-11-30,393x818,1286
2018-11-30,393x830,1716
2018-11-30,400x640,2014
2018-11-30,403x671,2268
2018-11-30,408x791,2156
2018-11-30,412x618,3351
2018-11-30,412x732,391669
2018-11-30,412x766,1528
2018-11-30,412x823,146242
2018-11-30,412x846,1031185
2018-11-30,412x869,16118
2018-11-30,412x892,44637
2018-11-30,414x688,1340
2018-11-30,414x736,2880906
2018-11-30,414x803,6342
2018-11-30,414x851,1879
2018-11-30,414x896,546345
2018-11-30,424x753,52048
2018-11-30,424x848,8931
2018-11-30,424x895,1378
2018-11-30,432x768,2521
2018-11-30,432x864,1141
2018-11-30,438x854,6482
2018-11-30,455x809,2081
2018-11-30,455x910,1241
2018-11-30,455x960,1456
2018-11-30,455x986,1374
2018-11-30,463x925,1330
2018-11-30,480x800,1762
2018-11-30,480x853,1283
2018-11-30,480x854,5496
